,Barva(neobvezno) ,Ime storitve,Opis storitve (neobvezno),Čas trajanja (min),"Cena (€, uporabi piko ne vejice)",Tagi,"Izvajalci (Nobvezno, Ločeni z vejico)",Time without client on the service (min)(neobvezno),Lasts (min) (neobvezno),,,Unique Tags,Unique Izvajalci
,,Prsni koš + trebuh,,35,30,Moška depilacija Strip Wax – Klasičen vosek,Monika Vider,,,,,,
,,Celo telo,,120,170,Moška depilacija Strip Wax – Klasičen vosek,Monika Vider,,,,,,
,,Brazil,,45,50,Moška depilacija Italwax – Hot wax        ,Monika Vider,,,,,,
,,Pazduhe,,10,18,Moška depilacija Italwax – Hot wax        ,Monika Vider,,,,,,
,,Prsni koš,,35,40,Moška depilacija Italwax – Hot wax        ,Monika Vider,,,,,,
,,Trebuh,,20,30,Moška depilacija Italwax – Hot wax        ,Monika Vider,,,,,,
,,Hrbet,,40,50,Moška depilacija Italwax – Hot wax        ,Monika Vider,,,,,,
,,Zadnjica,,20,30,Moška depilacija Italwax – Hot wax        ,Monika Vider,,,,,,
,,Moška manikira,,40,30,Moška manikira,Monika Vider,,,,,,
,,Brazzcare spa manikira,,45,40,Moška manikira,Monika Vider,,,,,,
,,Klasična pedikura,,45,33,Moška pedikura,Monika Vider,,,,,,
,,Zahtevna pedikura,,60,39,Moška pedikura,Monika Vider,,,,,,
,,Brazzcare spa pedikura,,60,40,Moška pedikura,Monika Vider,,,,,,
